Lunch,ランチ,ラーンチ,ラチ,ランチャ
Coffee,コーヒー,コーヒ,ゴーヒー,コヒ
Dessert,デザート,デサート,テザート,デザト
Download,ダウンロード,ダンロード,ダウロード,ダウンロド
Click,クリック,クリク,クリイック,クリッ
Project,プロジェクト,プロジエクト,プロジェクド,プロジェクトー
Schedule,スケジュール,スケジュル,スケヅール,シェジュール
Password,パスワード,パスワド,パスウード,パスワルド
Meeting,ミーティング,ミティング,ミーチング,メーティング
T-shirt,Tシャツ,Tシャーツ,Tヒャツ,Tジャツ
Stress,ストレス,ストレ,ストレスー,スットレス
Trouble,トラブル,トラプル,トラボ,トラウブル
Privacy,プライバシー,プリバシー,プライバシ,プライバッシー
Global,グローバル,クロ―バル,グローパル,グルーバル
Group,グループ,クループ,グルーブ,グルプ
System,システム,システ厶,シツテム,システーム
Taxi,タクシー,タクシ,タシクー,タクスー
Card,カード,カド,カ—ト,ガート
Energy,エネルギー,エネルギ,エネレギー,エネルキー
Virus,ウイルス,ウールス,ウィルツ,ウイールス
Allergy,アレルギー,アレレギー,アルレギー,アレルギ
Professional,プロフェッショナル,プロフェッショル,プロフエッショナル,プロフェショナル
Communication,コミュニケーション,コミニケション,コニューケーション,コミュニケション
Restaurant,レストラン,レストレン,レスラトン,レーストラン
Presentation,プレゼンテーション,プレぜンテーション,プレゼントーション,プレゼンテーシヨン
Drink,ドリンク,ドリンケ,トリンク,ドリンーク
Juice,ジュース,ジユース,ジュス,ジュウース
Takeout,テイクアウト,テクアウト,テイクアウトー,テイクアット
Menu,メニュー,メニュ,メーニュー,メーヌー
Cafe,カフェ,カフエ,カフエー,ガフェ
PC,パソコン,パソグン,パソゴン,パソコソ
Smartphone,スマートフォン,スマトホン,スマホトーン,スマトフォン
Internet,インターネット,インタネット,インダーネット,インターネットウ
E-mail,メール,メル,メイル,メエール
Application,アプリ,アブリ,アッリ,アプーリ
Website,ウェブサイト,ウエブサイト,ウェブサト,ウエブッサイト
Upload,アップロード,アプロード,アップルド,アップロド
Account,アカウント,アガウント,アカウト,アカウソト
Leader,リーダー,リダー,リーター,リーダ
Member,メンバー,メンパー,メソバー,メンバ
Skill,スキル,スキール,シキル,スギル
Career,キャリア,キャリヤ,ケリア,キャリーア
Merit,メリット,メッリト,メリト,メーリット
Demerit,デメリット,デメッリト,デメリト,デメーリット
Appointment,アポイントメント,アポイトメント,アポイントメト,アポイソトメント
Task,タスク,タツク,タースク,ダスク
Manual,マニュアル,マニアル,マヌアル,マニュアール
Claim,クレーム,クレム,ケレーム,グレーム
Shower,シャワー,シャワ,シヤワー,シャウアー
Television,テレビ,テレピ,テリビ,テレビー
Air conditioner,エアコン,エアゴン,エアコソ,エアーコン
Hotel,ホテル,ホチル,ホテール,ホッテル
Convenience store,コンビニ,コンスト,コンピニ,コンービニ
Supermarket,スーパー,スパ,スーパ,スーハー
Department store,デパート,テパート,デパト,デパトー
Bus,バス,パス,バツ,バース
Cash register,レジ,レシ,レジ—,レッヂ
Sale,セール,セル,セイル,ゼール
Point,ポイント,ポイト,ポイン,ポイーン
Size,サイズ,サイヅ,サイス,サイッズ
Baby car,ベビーカー,ベビーカ,ベビがー,ベービカー
Relax,リラックス,リラクス,リラックッス,リラッスク
Lucky,ラッキー,ラキー,ラッギ,ラッキ
Simple,シンプル,シンプレ,シソプル,シンーブル
Smart,スマート,スマト,スーマト,スマ—ト
Unique,ユニーク,ユネーク,ユニク,ユニーキュ
Image,イメージ,イメジ,イメーシ,イメッジ
Timing,タイミング,タイミグ,タミング,タイミンーグ
Balance,バランス,パランス,バラス,バランズ
Rule,ルール,ルル,ルルー,ルーレ
Risk,リスク,リツク,リクス,リスーク
Theme,テーマ,テマ,テーマー,テイーマ
Concept,コンセプト,コンセブト,コソセプト,コンセフト
Sports,スポーツ,スポッツ,スポツ,スポー
Game,ゲーム,ゲム,ケーム,ゲームウ
Drama,ドラマ,ト゚ラマ,ドラマー,ドラーマ
Animation,アニメ,アニーメ,アニメション,アニメト
Live,ライブ,ライボ,ライーブ,ライバ
Concert,コンサート,コンサト,コンーサート,コーンサト
Event,イベント,イべン,イペント,エベント
Fan,ファン,フアン,フャン,フン
Hobby,ホビー,ホビ,ホッビー,ホピー
Camera,カメラ,カメル,カメラー,ガメラ
Piano,ピアノ,ヒアノ,ピアノー,ピアーノ
Guitar,ギター,ギタ,キター,キダー
Percent,パーセント,パセント,パーセンタ,バーセント
Top,トップ,トプ,トッポ,トープ
Amateur,アマチュア,アマチア,アマチュアー,アマテラ
Veteran,ベテラン,ベテラソ,バーテラ,ベテラーン
Volunteer,ボランティア,ポランティア,ボランチア,ボランテア
